GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame,993,0,0,0,148,0,4,0,4,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,AdvancedCalculator,0,67,0,4,0,24,0,9,0,7
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,6,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},35,0,0,0,7,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,6,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},33,0,0,0,7,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},35,0,0,0,7,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,Main,8,0,0,0,3,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},12,0,0,0,4,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},241,0,12,0,29,0,8,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},35,0,0,0,7,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},41,0,2,0,9,0,3,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},31,0,2,0,6,0,3,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,6,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,BasicCalculator,0,30,0,2,0,9,0,6,0,5
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,6,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,6,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,5,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},35,0,0,0,7,0,2,0,2,0
calculator-tobiash,com.final_project.calculator_tobiash.classes,MainFrame.new ActionListener() {...},24,0,0,0,6,0,2,0,2,0
